,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year,hispanic,white,black,asian,indigneous,total_correctional_pop,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
22,11227.1494140625,2541.1796875,1218.044921875,2831.31884765625,611.0377807617188,1054.3876953125,347.8823547363281,2623.2978515625,625.197021484375,2015,1.9,92.8,1.2,1.8,0.3,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,11595.634765625,2579.171875,1398.058837890625,3013.036376953125,620.8429565429688,964.372314453125,333.85552978515625,2686.297119140625,623.6439819335938,2016,1.9,92.8,1.2,1.8,0.3,7400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,9942.11328125,2000.1732177734373,1355.80615234375,2088.29638671875,593.6156616210938,618.44140625,354.324951171875,2931.455810546875,923.6380004882812,2013,9.3,62.2,21.5,4.0,0.2,23700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,10082.802734375,2046.2193603515625,1315.34228515625,2243.608154296875,603.365234375,533.7337646484375,367.9492492675781,2972.585205078125,932.5960083007812,2014,9.3,62.2,21.5,4.0,0.2,23300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10101.5185546875,1999.35205078125,1362.8428955078125,2422.520263671875,588.267822265625,497.1632995605469,383.0571594238281,2848.315185546875,941.4130249023438,2015,9.3,62.2,21.5,4.0,0.2,22700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,10470.541015625,2054.0341796875,1330.353759765625,2545.734619140625,596.1888427734375,617.4558715820312,373.3818054199219,2953.39208984375,949.2160034179688,2016,9.3,62.2,21.5,4.0,0.2,22400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8854.19921875,2043.998291015625,945.3175048828124,1736.8277587890625,372.3872680664063,480.32666015625,391.5931701660156,2883.748046875,5923.7041015625,2013,10.1,50.7,29.4,6.4,0.2,74800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9275.2763671875,2106.35205078125,1025.46435546875,1864.673583984375,372.8152770996094,519.6898803710939,406.4744873046875,2979.80615234375,5958.1650390625,2014,10.1,50.7,29.4,6.4,0.2,109700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9690.1806640625,2128.48388671875,993.59228515625,2061.638916015625,377.82611083984375,573.6461181640625,430.09130859375,3124.90234375,5986.716796875,2015,10.1,50.7,29.4,6.4,0.2,104500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9758.5224609375,2138.731689453125,1057.4559326171877,2030.203369140625,387.5454406738281,564.5549926757812,442.2110290527344,3137.819580078125,6004.69189453125,2016,10.1,50.7,29.4,6.4,0.2,99000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9597.1044921875,2811.614990234375,670.5912475585938,1546.7039794921875,640.959716796875,570.8838500976562,388.62738037109375,2967.7236328125,8858.3623046875,2013,20.4,54.8,12.8,9.8,0.1,164100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9979.201171875,2944.014404296875,687.8428344726562,1599.87744140625,689.1651611328125,583.585693359375,387.3794250488281,3087.336181640625,8866.7802734375,2014,20.4,54.8,12.8,9.8,0.1,164500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,10223.4892578125,2963.817626953125,723.0556640625,1838.1651611328125,632.197265625,571.028076171875,383.0535583496094,3112.171142578125,8870.869140625,2015,20.4,54.8,12.8,9.8,0.1,183500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,10443.6826171875,3040.83740234375,787.3292236328125,1892.6556396484373,628.1834106445312,549.2999267578125,396.48834228515625,3148.888916015625,8874.515625,2016,20.4,54.8,12.8,9.8,0.1,186300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,12450.794921875,3007.877685546875,688.3787841796875,2944.5556640625,1063.13525390625,502.066650390625,474.293701171875,3770.487548828125,19628.04296875,2013,19.2,55.1,14.3,8.7,0.2,228100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,12724.1083984375,3109.12451171875,761.8814086914062,2786.84912109375,1089.133544921875,536.4996337890625,477.52276611328125,3963.0966796875,19656.330078125,2014,19.2,55.1,14.3,8.7,0.2,222100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,13115.9638671875,3242.225830078125,698.01318359375,3069.454833984375,1087.9349365234377,560.3815307617189,486.7095947265625,3971.24365234375,19661.41015625,2015,19.2,55.1,14.3,8.7,0.2,216700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
