,region,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year
94,Mississippi,8643.569,1533.0543,1061.3557,2068.2185,1428.0236,559.1132,253.288,1740.5157,2988.298,2016
95,North Carolina,7760.85,1399.095,953.90607,1405.8883,1497.5504,426.6364,301.14243,1776.6313,10156.679,2016
96,South Carolina,8219.447,1736.8215,840.513,1529.0848,1575.4235,372.0092,249.58154,1916.0142,4958.235,2016
97,Tennessee,6778.719,1403.4877,557.53394,1759.2156,682.6872,335.3054,272.4635,1768.0258,6645.011,2016
98,Virginia,8474.587,1953.1072,948.2177,1369.5343,868.6596,663.4474,281.5801,2390.0403,8410.946,2016
99,West Virginia,8862.686,1685.6405,958.23157,2592.8657,417.4367,698.54047,211.7701,2298.2004,1830.929,2016
100,Southwest,7615.8516,1723.1616,989.8171,1552.3904,719.8472,486.4599,285.41418,1858.7614,40902.504,2016
101,Arizona,6601.8657,1128.8875,858.72424,1862.7977,270.69556,352.05643,326.4251,1802.2792,6945.452,2016
102,New Mexico,10460.955,1748.0381,1231.1327,2999.685,1055.7792,466.76562,328.3924,2631.162,2092.789,2016
103,Oklahoma,7466.1396,1503.2634,1027.9847,1696.2104,564.75793,660.78674,261.3263,1751.8099,3926.769,2016
104,Texas,7675.8525,1899.9467,998.96606,1346.5898,828.1435,496.84622,275.38477,1829.9755,27937.492,2016
105,Rocky Mountain,8419.553,1692.4066,1121.8926,1461.0626,739.40063,592.42456,290.38632,2521.9797,11891.617,2016
106,Colorado,8552.425,1697.8733,1081.8285,1541.9337,577.2114,537.8295,330.1536,2785.5947,5540.921,2016
107,Idaho,6541.718,1216.1451,657.93524,1450.1887,573.39874,500.28046,255.96548,1887.804,1682.93,2016
108,Montana,8364.768,1766.9924,902.3781,1701.1049,491.05597,833.859,282.79803,2386.579,1040.863,2016
109,Utah,7868.016,1583.0863,1446.8169,1237.7742,818.5882,511.74008,218.62294,2051.3875,3042.613,2016
110,Wyoming,15537.887,3448.743,1537.2094,1460.5983,2785.6492,1365.6198,399.62518,4540.4424,584.29,2016
111,Far West [2],10820.246,1957.8217,998.5489,2598.109,1166.5028,470.72995,413.87494,3214.6587,53514.984,2016
112,California,11346.762,2002.7865,1018.1791,2892.856,1221.1526,437.13632,447.80057,3326.8506,39209.13,2016
113,Nevada,6945.492,1447.0469,482.55927,1222.3817,446.47665,592.6268,404.41788,2349.9832,2919.772,2016
114,Oregon,10642.424,1746.4443,1224.0931,2508.6362,1018.1823,511.48187,321.5334,3312.0532,4091.404,2016
115,Washington,9640.854,2039.1342,973.0639,1614.6663,1244.1458,579.6497,287.10086,2903.093,7294.68,2016
116,Alaska,18398.336,3191.6025,1473.9786,3019.366,952.87683,2144.5183,496.51788,7119.4746,741.504,2016
117,Hawaii,9598.971,1486.0966,777.426,1989.5378,818.0099,511.06046,320.59198,3696.2478,1428.105,2016
118,New England,9789.295,2296.2473,772.0286,2247.7034,428.64426,613.0785,332.757,3098.8362,14729.548,2015
119,Connecticut,9366.493,2557.0388,870.3072,1045.7345,637.7113,656.7183,326.85492,3272.1282,3587.509,2015
120,Maine,8174.4946,1783.3794,593.1904,2299.9404,325.73822,670.67426,199.6953,2301.8765,1328.484,2015
121,Massachusetts,10605.564,2279.402,757.9015,2901.6858,405.26343,582.3176,357.0275,3321.9663,6795.891,2015
122,New Hampshire,7620.8545,2136.7722,675.0565,1408.6646,132.4469,540.9528,299.98862,2426.9727,1336.294,2015
123,Rhode Island,9896.761,2220.6892,612.7273,2772.8193,265.17435,420.35443,396.51175,3208.484,1056.173,2015
124,Vermont,11227.149,2541.1797,1218.0449,2831.3188,611.0378,1054.3877,347.88235,2623.2979,625.197,2015
125,Mideast,11102.433,2745.7422,770.8777,2485.3047,798.24493,617.6424,412.58118,3272.0398,48921.42,2015
126,Delaware,10101.519,1999.352,1362.8429,2422.5203,588.2678,497.1633,383.05716,2848.3152,941.413,2015
127,District of Columbia,18346.277,3770.738,263.89328,5277.3813,1110.5569,695.8433,865.84753,6362.0166,675.254,2015
